hour,messages
00:00,7053
01:00,9526
02:00,11124
03:00,13690
04:00,11210
05:00,8277
06:00,10880
07:00,12201
08:00,11126
09:00,13562
10:00,15350
11:00,16107
12:00,16515
13:00,15934
14:00,15111
15:00,13520
16:00,8788
17:00,2541
18:00,593
19:00,223
20:00,79
21:00,88
22:00,605
23:00,3220
